v2	V(vout)
3.900000000000003e-01	3.604310e-01
3.910000000000003e-01	3.614065e-01
3.920000000000003e-01	3.623820e-01
3.930000000000003e-01	3.633575e-01
3.940000000000003e-01	3.643329e-01
3.950000000000003e-01	3.653084e-01
3.960000000000003e-01	3.662838e-01
3.970000000000003e-01	3.672593e-01
3.980000000000003e-01	3.682347e-01
3.990000000000003e-01	3.692102e-01
4.000000000000003e-01	3.701856e-01
4.010000000000003e-01	3.711610e-01
4.020000000000003e-01	3.721365e-01
4.030000000000003e-01	3.731120e-01
4.040000000000003e-01	3.740875e-01
4.050000000000003e-01	3.750631e-01
4.060000000000003e-01	3.760386e-01
4.070000000000003e-01	3.770142e-01
4.080000000000003e-01	3.779898e-01
4.090000000000003e-01	3.789655e-01
4.100000000000003e-01	3.799412e-01
4.110000000000003e-01	3.809169e-01
4.120000000000003e-01	3.818927e-01
4.130000000000003e-01	3.828684e-01
4.140000000000003e-01	3.838443e-01
4.150000000000003e-01	3.848202e-01
4.160000000000003e-01	3.857962e-01
4.170000000000003e-01	3.867722e-01
4.180000000000003e-01	3.877483e-01
4.190000000000003e-01	3.887244e-01
4.200000000000003e-01	3.897006e-01
4.210000000000003e-01	3.906769e-01
4.220000000000003e-01	3.916532e-01
4.230000000000003e-01	3.926296e-01
4.240000000000003e-01	3.936060e-01
4.250000000000003e-01	3.945826e-01
4.260000000000003e-01	3.955592e-01
4.270000000000003e-01	3.965359e-01
4.280000000000003e-01	3.975127e-01
4.290000000000003e-01	3.984895e-01
4.300000000000003e-01	3.994665e-01
4.310000000000003e-01	4.004435e-01
4.320000000000003e-01	4.014206e-01
4.330000000000003e-01	4.023978e-01
4.340000000000003e-01	4.033751e-01
4.350000000000003e-01	4.043525e-01
4.360000000000003e-01	4.053300e-01
4.370000000000003e-01	4.063075e-01
4.380000000000003e-01	4.072852e-01
4.390000000000003e-01	4.082630e-01
4.400000000000003e-01	4.092408e-01
4.410000000000003e-01	4.102188e-01
4.420000000000003e-01	4.111969e-01
4.430000000000003e-01	4.121750e-01
4.440000000000003e-01	4.131533e-01
4.450000000000003e-01	4.141317e-01
4.460000000000003e-01	4.151101e-01
4.470000000000003e-01	4.160887e-01
4.480000000000003e-01	4.170674e-01
4.490000000000003e-01	4.180462e-01
4.500000000000003e-01	4.190251e-01
4.510000000000003e-01	4.200041e-01
4.520000000000003e-01	4.209832e-01
4.530000000000003e-01	4.219624e-01
4.540000000000003e-01	4.229417e-01
4.550000000000003e-01	4.239211e-01
4.560000000000003e-01	4.249007e-01
4.570000000000004e-01	4.258803e-01
4.580000000000004e-01	4.268600e-01
4.590000000000004e-01	4.278398e-01
4.600000000000004e-01	4.288198e-01
4.610000000000004e-01	4.297999e-01
4.620000000000004e-01	4.307800e-01
4.630000000000004e-01	4.317603e-01
4.640000000000004e-01	4.327406e-01
4.650000000000004e-01	4.337211e-01
4.660000000000004e-01	4.347017e-01
4.670000000000004e-01	4.356823e-01
4.680000000000004e-01	4.366631e-01
4.690000000000004e-01	4.376440e-01
4.700000000000004e-01	4.386249e-01
4.710000000000004e-01	4.396060e-01
4.720000000000004e-01	4.405872e-01
4.730000000000004e-01	4.415684e-01
4.740000000000004e-01	4.425498e-01
4.750000000000004e-01	4.435312e-01
4.760000000000004e-01	4.445128e-01
4.770000000000004e-01	4.454944e-01
4.780000000000004e-01	4.464762e-01
4.790000000000004e-01	4.474580e-01
4.800000000000004e-01	4.484399e-01
4.810000000000004e-01	4.494219e-01
4.820000000000004e-01	4.504040e-01
4.830000000000004e-01	4.513862e-01
4.840000000000004e-01	4.523684e-01
4.850000000000004e-01	4.533508e-01
4.860000000000004e-01	4.543332e-01
4.870000000000004e-01	4.553156e-01
4.880000000000004e-01	4.562982e-01
4.890000000000004e-01	4.572809e-01
4.900000000000004e-01	4.582636e-01
4.910000000000004e-01	4.592465e-01
4.920000000000004e-01	4.602293e-01
4.930000000000004e-01	4.612123e-01
4.940000000000004e-01	4.621953e-01
4.950000000000004e-01	4.631785e-01
4.960000000000004e-01	4.641616e-01
4.970000000000004e-01	4.651449e-01
4.980000000000004e-01	4.661282e-01
4.990000000000004e-01	4.671116e-01
5.000000000000003e-01	4.680950e-01
5.010000000000003e-01	4.690785e-01
5.020000000000003e-01	4.700621e-01
5.030000000000003e-01	4.710457e-01
5.040000000000003e-01	4.720294e-01
5.050000000000003e-01	4.730132e-01
5.060000000000003e-01	4.739970e-01
5.070000000000003e-01	4.749809e-01
5.080000000000003e-01	4.759648e-01
5.090000000000003e-01	4.769487e-01
5.100000000000003e-01	4.779328e-01
5.110000000000003e-01	4.789169e-01
5.120000000000003e-01	4.799010e-01
5.130000000000003e-01	4.808852e-01
5.140000000000003e-01	4.818694e-01
5.150000000000003e-01	4.828537e-01
5.160000000000003e-01	4.838380e-01
5.170000000000003e-01	4.848224e-01
5.180000000000003e-01	4.858068e-01
5.190000000000003e-01	4.867913e-01
5.200000000000004e-01	4.877758e-01
5.210000000000004e-01	4.887603e-01
5.220000000000004e-01	4.897449e-01
5.230000000000004e-01	4.907295e-01
5.240000000000004e-01	4.917142e-01
5.250000000000004e-01	4.926989e-01
5.260000000000004e-01	4.936836e-01
5.270000000000004e-01	4.946684e-01
5.280000000000004e-01	4.956532e-01
5.290000000000004e-01	4.966381e-01
5.300000000000004e-01	4.976229e-01
5.310000000000004e-01	4.986078e-01
5.320000000000004e-01	4.995928e-01
5.330000000000004e-01	5.005777e-01
5.340000000000004e-01	5.015628e-01
5.350000000000004e-01	5.025478e-01
5.360000000000004e-01	5.035328e-01
5.370000000000004e-01	5.045179e-01
5.380000000000004e-01	5.055031e-01
5.390000000000004e-01	5.064882e-01
5.400000000000004e-01	5.074733e-01
5.410000000000004e-01	5.084586e-01
5.420000000000004e-01	5.094438e-01
5.430000000000004e-01	5.104290e-01
5.440000000000004e-01	5.114143e-01
5.450000000000004e-01	5.123996e-01
5.460000000000004e-01	5.133849e-01
5.470000000000004e-01	5.143702e-01
5.480000000000004e-01	5.153555e-01
5.490000000000004e-01	5.163409e-01
5.500000000000004e-01	5.173263e-01
5.510000000000004e-01	5.183117e-01
5.520000000000004e-01	5.192971e-01
5.530000000000004e-01	5.202826e-01
5.540000000000004e-01	5.212680e-01
5.550000000000004e-01	5.222535e-01
5.560000000000004e-01	5.232390e-01
5.570000000000004e-01	5.242245e-01
5.580000000000004e-01	5.252100e-01
5.590000000000004e-01	5.261956e-01
5.600000000000004e-01	5.271811e-01
5.610000000000004e-01	5.281667e-01
5.620000000000004e-01	5.291523e-01
5.630000000000004e-01	5.301379e-01
5.640000000000004e-01	5.311235e-01
5.650000000000004e-01	5.321091e-01
5.660000000000004e-01	5.330948e-01
5.670000000000004e-01	5.340804e-01
5.680000000000004e-01	5.350661e-01
5.690000000000004e-01	5.360517e-01
5.700000000000004e-01	5.370374e-01
5.710000000000004e-01	5.380231e-01
5.720000000000004e-01	5.390088e-01
5.730000000000004e-01	5.399945e-01
5.740000000000004e-01	5.409802e-01
5.750000000000004e-01	5.419659e-01
5.760000000000004e-01	5.429516e-01
5.770000000000004e-01	5.439374e-01
5.780000000000004e-01	5.449231e-01
5.790000000000004e-01	5.459089e-01
5.800000000000004e-01	5.468947e-01
5.810000000000004e-01	5.478804e-01
5.820000000000004e-01	5.488662e-01
5.830000000000004e-01	5.498520e-01
5.840000000000004e-01	5.508378e-01
5.850000000000004e-01	5.518236e-01
5.860000000000004e-01	5.528094e-01
5.870000000000004e-01	5.537952e-01
5.880000000000004e-01	5.547810e-01
5.890000000000004e-01	5.557668e-01
5.900000000000004e-01	5.567526e-01
5.910000000000004e-01	5.577385e-01
5.920000000000004e-01	5.587243e-01
5.930000000000004e-01	5.597101e-01
5.940000000000004e-01	5.606960e-01
5.950000000000004e-01	5.616818e-01
5.960000000000004e-01	5.626677e-01
5.970000000000004e-01	5.636535e-01
5.980000000000004e-01	5.646394e-01
5.990000000000004e-01	5.656253e-01
6.000000000000004e-01	5.666111e-01
6.010000000000004e-01	5.675970e-01
6.020000000000004e-01	5.685828e-01
6.030000000000004e-01	5.695687e-01
