time	V(clk_amp)	V(clk_double)	V(clk_load)	V(clk_sample)	V(comp_out)
3.954112861495301e-06	0.000000e+00	3.000000e+00	3.000000e+00	0.000000e+00	1.800000e+00
3.955256518422426e-06	0.000000e+00	3.000000e+00	3.000000e+00	0.000000e+00	1.800000e+00
3.956685345843227e-06	0.000000e+00	3.000000e+00	3.000000e+00	0.000000e+00	1.800000e+00
3.958219494200339e-06	0.000000e+00	3.000000e+00	3.000000e+00	0.000000e+00	1.800000e+00
3.959594787217796e-06	0.000000e+00	3.000000e+00	3.000000e+00	0.000000e+00	1.800000e+00
3.960530346187921e-06	0.000000e+00	3.000000e+00	3.000000e+00	0.000000e+00	1.800000e+00
3.961079109694556e-06	0.000000e+00	3.000000e+00	3.000000e+00	0.000000e+00	1.800000e+00
3.961518422308756e-06	0.000000e+00	3.000000e+00	3.000000e+00	0.000000e+00	1.800000e+00
3.962003403525924e-06	0.000000e+00	3.000000e+00	3.000000e+00	0.000000e+00	1.800000e+00
3.962325514222251e-06	0.000000e+00	3.000000e+00	3.000000e+00	0.000000e+00	1.800000e+00
3.962697354155543e-06	0.000000e+00	3.000000e+00	3.000000e+00	0.000000e+00	1.800000e+00
3.963257347969349e-06	0.000000e+00	3.000000e+00	3.000000e+00	0.000000e+00	1.800000e+00
3.963799842570970e-06	0.000000e+00	3.000000e+00	3.000000e+00	0.000000e+00	1.800000e+00
3.964484833843357e-06	0.000000e+00	3.000000e+00	3.000000e+00	0.000000e+00	1.800000e+00
3.965269415524438e-06	0.000000e+00	3.000000e+00	3.000000e+00	0.000000e+00	1.800000e+00
3.966400133082271e-06	0.000000e+00	3.000000e+00	3.000000e+00	0.000000e+00	1.800000e+00
3.967746387006066e-06	0.000000e+00	3.000000e+00	3.000000e+00	0.000000e+00	1.800000e+00
3.970180750851261e-06	0.000000e+00	3.000000e+00	3.000000e+00	0.000000e+00	1.800000e+00
3.972806932750976e-06	0.000000e+00	3.000000e+00	3.000000e+00	0.000000e+00	1.800000e+00
3.975464796547925e-06	0.000000e+00	3.000000e+00	3.000000e+00	0.000000e+00	1.800000e+00
3.980347609047924e-06	0.000000e+00	3.000000e+00	3.000000e+00	0.000000e+00	1.800000e+00
3.985230421547924e-06	0.000000e+00	3.000000e+00	3.000000e+00	0.000000e+00	1.800000e+00
3.990113234047924e-06	0.000000e+00	3.000000e+00	3.000000e+00	0.000000e+00	1.800000e+00
3.994996046547924e-06	0.000000e+00	3.000000e+00	3.000000e+00	0.000000e+00	1.800000e+00
3.999878859047924e-06	0.000000e+00	3.000000e+00	3.000000e+00	0.000000e+00	1.800000e+00
4.009644484047923e-06	0.000000e+00	3.000000e+00	3.000000e+00	0.000000e+00	1.800000e+00
4.047413967995843e-06	0.000000e+00	3.000000e+00	3.000000e+00	0.000000e+00	1.800000e+00
4.050000000100000e-06	0.000000e+00	3.000000e+00	3.000000e+00	0.000000e+00	1.800000e+00
4.054882812600000e-06	0.000000e+00	3.000000e+00	0.000000e+00	0.000000e+00	1.800000e+00
4.055117187600000e-06	0.000000e+00	3.000000e+00	0.000000e+00	0.000000e+00	1.800000e+00
4.055585937600001e-06	0.000000e+00	3.000000e+00	0.000000e+00	0.000000e+00	1.800000e+00
4.056523437600002e-06	0.000000e+00	3.000000e+00	0.000000e+00	0.000000e+00	1.800000e+00
4.058125000099998e-06	0.000000e+00	3.000000e+00	0.000000e+00	0.000000e+00	1.800000e+00
4.060000000100000e-06	0.000000e+00	3.000000e+00	0.000000e+00	0.000000e+00	1.800000e+00
4.060005181899281e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.800000e+00
4.060015545497843e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.800000e+00
4.060018072646072e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.800000e+00
4.060021177634181e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.800000e+00
4.060027387610399e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.800000e+00
4.060034248674643e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.800000e+00
4.060047970803131e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.800000e+00
4.060075415060108e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.800000e+00
4.060104117326590e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.800000e+00
4.060161521859557e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.800000e+00
4.060276330925489e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.800000e+00
4.060486877903066e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.800000e+00
4.060820118870436e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.800000e+00
4.061335094935616e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.800000e+00
4.061897238142294e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.800000e+00
4.062926151171511e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.800000e+00
4.064459018878333e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.800000e+00
4.065851625545150e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.800000e+00
4.068226349717201e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.800000e+00
4.071666389710143e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.800000e+00
4.076549202210142e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.800000e+00
4.091197639710142e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.800000e+00
4.188853889710138e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.800000e+00
4.193736702210138e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.800000e+00
4.197239029420274e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.800000e+00
4.200000000000000e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.797186e+00
4.200006942546085e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.798216e+00
4.200020827638254e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.803366e+00
4.200024246331456e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.802049e+00
4.200028378756213e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.799351e+00
4.200033466998415e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.799539e+00
4.200039053064201e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.799870e+00
4.200045850902599e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.799833e+00
4.200055245136843e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.799971e+00
4.200068427520101e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.799957e+00
4.200088606404364e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.799821e+00
4.200092619571415e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.799852e+00
4.200100645905516e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.800015e+00
4.200102652489041e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.800014e+00
4.200106665656091e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.799997e+00
4.200107668947854e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.799997e+00
4.200109675531379e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.799999e+00
4.200113688698429e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.800000e+00
4.200114691990192e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.800000e+00
4.200116698573717e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.800000e+00
4.200120711740767e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.800001e+00
4.200128738074868e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.800001e+00
4.200144790743070e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.800002e+00
4.200176896079474e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.800004e+00
4.200241106752282e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.800005e+00
4.200345661707455e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.800006e+00
4.200461689880634e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.800007e+00
4.200595277650381e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.800006e+00
4.200765872577619e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.800006e+00
4.201028473526472e-06	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.800005e+00
