time,V(clk_amp),V(clk_double),V(clk_load),V(clk_sample),V(comp_out)
2.01711E-07,3,0,0,0,1.800106
2.02231E-07,3,0,0,0,1.800074
2.02337E-07,3,0,0,0,1.800066
2.02549E-07,3,0,0,0,1.80005
2.02602E-07,3,0,0,0,1.800048
2.02708E-07,3,0,0,0,1.800044
2.0292E-07,3,0,0,0,1.800038
2.03013E-07,3,0,0,0,1.800035
2.03172E-07,3,0,0,0,1.800032
2.03384E-07,3,0,0,0,1.800028
2.03808E-07,3,0,0,0,1.800022
2.04656E-07,3,0,0,0,1.800013
2.05634E-07,3,0,0,0,1.800008
2.07447E-07,3,0,0,0,1.800003
2.09251E-07,3,0,0,0,1.800001
2.11936E-07,3,0,0,0,1.8
2.1469E-07,3,0,0,0,1.8
2.19573E-07,3,0,0,0,1.8
2.23063E-07,3,0,0,0,1.8
2.23621E-07,3,0,0,0,1.8
2.24179E-07,3,0,0,0,1.8
2.24737E-07,3,0,0,0,1.8
2.25295E-07,3,0,0,0,1.8
2.25853E-07,3,0,0,0,1.8
2.26411E-07,3,0,0,0,1.8
2.26969E-07,3,0,0,0,1.8
2.29373E-07,3,0,0,0,1.8
2.31526E-07,3,0,0,0,1.8
2.35735E-07,3,0,0,0,1.8
2.40618E-07,3,0,0,0,1.8
2.45501E-07,3,0,0,0,1.8
2.50383E-07,3,0,0,0,1.8
2.55266E-07,3,0,0,0,1.8
2.60149E-07,3,0,0,0,1.8
2.65032E-07,3,0,0,0,1.8
2.69915E-07,3,0,0,0,1.8
2.74798E-07,3,0,0,0,1.8
2.7968E-07,3,0,0,0,1.8
2.84563E-07,3,0,0,0,1.8
2.89446E-07,3,0,0,0,1.8
2.94329E-07,3,0,0,0,1.8
2.94965E-07,3,0,0,0,1.8
2.95601E-07,3,0,0,0,1.8
2.96237E-07,3,0,0,0,1.8
2.96874E-07,3,0,0,0,1.8
2.9751E-07,3,0,0,0,1.8
2.98146E-07,3,0,0,0,1.8
2.98782E-07,3,0,0,0,1.8
3E-07,3,0,0,0,1.798782
3.00003E-07,0,0,0,0,1.799046
3.00009E-07,0,0,0,0,1.800745
3.00011E-07,0,0,0,0,1.800728
3.00013E-07,0,0,0,0,1.800312
3.00016E-07,0,0,0,0,1.800212
3.0002E-07,0,0,0,0,1.800187
3.00027E-07,0,0,0,0,1.80015
3.00037E-07,0,0,0,0,1.800112
3.00048E-07,0,0,0,0,1.800082
3.00062E-07,0,0,0,0,1.800058
3.00081E-07,0,0,0,0,1.800037
3.00111E-07,0,0,0,0,1.800019
3.00167E-07,0,0,0,0,1.800006
3.0028E-07,0,0,0,0,1.800001
3.00505E-07,0,0,0,0,1.8
3.00806E-07,0,0,0,0,1.8
3.01123E-07,0,0,0,0,1.8
3.01495E-07,0,0,0,0,1.8
3.01927E-07,0,0,0,0,1.8
3.02509E-07,0,0,0,0,1.8
3.03459E-07,0,0,0,0,1.8
3.04372E-07,0,0,0,0,1.8
3.05366E-07,0,0,0,0,1.8
3.06567E-07,0,0,0,0,1.8
3.07695E-07,0,0,0,0,1.8
3.09153E-07,0,0,0,0,1.8
3.10475E-07,0,0,0,0,1.8
3.12029E-07,0,0,0,0,1.8
3.14657E-07,0,0,0,0,1.8
3.16503E-07,0,0,0,0,1.8
3.175E-07,0,0,0,0,1.8
3.18473E-07,0,0,0,0,1.8
3.19459E-07,0,0,0,0,1.8
3.20198E-07,0,0,0,0,1.8
3.20742E-07,0,0,0,0,1.8
3.21173E-07,0,0,0,0,1.8
3.21574E-07,0,0,0,0,1.8
3.22073E-07,0,0,0,0,1.8
3.22421E-07,0,0,0,0,1.8
3.22754E-07,0,0,0,0,1.8
3.23143E-07,0,0,0,0,1.8
3.23618E-07,0,0,0,0,1.8
3.24176E-07,0,0,0,0,1.8
3.24784E-07,0,0,0,0,1.8
3.25549E-07,0,0,0,0,1.8
3.26466E-07,0,0,0,0,1.8
3.27863E-07,0,0,0,0,1.8
3.29867E-07,0,0,0,0,1.8
3.32881E-07,0,0,0,0,1.8
3.36244E-07,0,0,0,0,1.8
3.41047E-07,0,0,0,0,1.8
3.45117E-07,0,0,0,0,1.8
0.00000035,0,0,0,0,1.8
3.5E-07,0,0,0,0,1.8
3.5E-07,0,3,0,0,1.8
3.51E-07,0,3,0,0,1.8
3.52E-07,0,3,0,0,1.8
3.53E-07,0,3,0,0,1.8
3.54E-07,0,3,0,0,1.8
3.55576E-07,0,3,0,0,1.8
3.58182E-07,0,3,0,0,1.8
3.61995E-07,0,3,0,0,1.8
3.65921E-07,0,3,0,0,1.8
3.70804E-07,0,3,0,0,1.8
3.75686E-07,0,3,0,0,1.8
3.80569E-07,0,3,0,0,1.8
3.85452E-07,0,3,0,0,1.8
3.90335E-07,0,3,0,0,1.8
3.95218E-07,0,3,0,0,1.8
4.001E-07,0,3,0,0,1.8
4.04983E-07,0,3,0,0,1.8
4.09866E-07,0,3,0,0,1.8
4.14749E-07,0,3,0,0,1.8
4.19632E-07,0,3,0,0,1.8
4.39163E-07,0,3,0,0,1.8
4.44046E-07,0,3,0,0,1.8
4.4726E-07,0,3,0,0,1.8
0.00000045,0,3,0,0,1.8
4.5E-07,0,3,0,0,1.8
4.5E-07,0,3,0,0,1.8
4.5E-07,0,3,0,0,1.8
4.5E-07,0,3,0,0,1.8
4.5E-07,0,3,1,0,1.8
4.5E-07,0,3,2,0,1.8
4.5E-07,0,3,3,0,1.8
4.5E-07,0,3,3,0,1.8
